distance,rounds,p,decoder,alpha,shots,errors,ler,ler_std,decode_seconds,us_per_shot,is_best,best_at_endpoint
3,3,0.0001,cm,0.1,72000000,504,7e-06,3.1180369091251417e-07,3.2736,0.0455,1,1
3,3,0.0001,cm,0.2,72000000,505,7.013888888888889e-06,3.121128645184913e-07,3.2616,0.0453,0,1
3,3,0.0001,cm,0.3,72000000,539,7.486111111111111e-06,3.224484254465171e-07,3.2602,0.0453,0,1
3,3,0.0001,cm,0.4,72000000,542,7.527777777777778e-06,3.2334452537200733e-07,3.2598,0.0453,0,1
3,3,0.0001,cm,0.5,72000000,539,7.486111111111111e-06,3.224484254465171e-07,3.2599,0.0453,0,1
3,3,0.0001,cm,0.6,72000000,541,7.513888888888889e-06,3.2304610159393174e-07,3.2592,0.0453,0,1
3,3,0.0001,cm,0.7,72000000,538,7.472222222222222e-06,3.2214917153991126e-07,3.2599,0.0453,0,1
3,3,0.0001,cm,0.8,72000000,547,7.597222222222222e-06,3.248325317340188e-07,3.2603,0.0453,0,1
3,3,0.0001,cm,0.9,72000000,563,7.819444444444444e-06,3.2954900370584374e-07,3.2615,0.0453,0,1
3,3,0.0001,cm,1.0,72000000,573,7.958333333333333e-06,3.3246282161117675e-07,2.9678,0.0412,0,1
3,3,0.0001,mwpm,,72000000,579,8.041666666666666e-06,3.34198917775857e-07,1.7497,0.0243,0,1
3,3,0.0002,cm,0.1,19000000,523,2.7526315789473683e-05,1.2036251840828876e-06,1.1018,0.058,0,0
3,3,0.0002,cm,0.2,19000000,522,2.7473684210526316e-05,1.2024739718641077e-06,1.0984,0.0578,0,0
3,3,0.0002,cm,0.3,19000000,521,2.7421052631578946e-05,1.2013216563315309e-06,1.0977,0.0578,1,0
3,3,0.0002,cm,0.4,19000000,527,2.773684210526316e-05,1.2082190628501018e-06,1.098,0.0578,0,0
3,3,0.0002,cm,0.5,19000000,536,2.8210526315789473e-05,1.2184919601487228e-06,1.0983,0.0578,0,0
3,3,0.0002,cm,0.6,19000000,538,2.831578947368421e-05,1.220763085118025e-06,1.098,0.0578,0,0
3,3,0.0002,cm,0.7,19000000,537,2.8263157894736843e-05,1.2196280513389203e-06,1.0986,0.0578,0,0
3,3,0.0002,cm,0.8,19000000,542,2.8526315789473683e-05,1.2252927048535913e-06,1.0988,0.0578,0,0
3,3,0.0002,cm,0.9,19000000,546,2.8736842105263157e-05,1.2298056393115856e-06,1.0996,0.0579,0,0
3,3,0.0002,cm,1.0,19000000,550,2.894736842105263e-05,1.2343020715093702e-06,0.9435,0.0497,0,0
3,3,0.0002,mwpm,,19000000,617,3.2473684210526316e-05,1.3073200725622689e-06,0.5164,0.0272,0,0
3,3,0.0004,cm,0.1,5000000,561,0.0001122,4.7368219548553855e-06,0.4237,0.0847,0,0
3,3,0.0004,cm,0.2,5000000,559,0.0001118,4.728371828864562e-06,0.4218,0.0844,0,0
3,3,0.0004,cm,0.3,5000000,555,0.000111,4.711426089837343e-06,0.422,0.0844,0,0
3,3,0.0004,cm,0.4,5000000,550,0.00011,4.690157779861996e-06,0.4224,0.0845,1,0
3,3,0.0004,cm,0.5,5000000,551,0.0001102,4.694419153846405e-06,0.4229,0.0846,0,0
3,3,0.0004,cm,0.6,5000000,574,0.0001148,4.7913843711395145e-06,0.4229,0.0846,0,0
3,3,0.0004,cm,0.7,5000000,573,0.0001146,4.787209350759584e-06,0.4231,0.0846,0,0
3,3,0.0004,cm,0.8,5000000,574,0.0001148,4.7913843711395145e-06,0.4239,0.0848,0,0
3,3,0.0004,cm,0.9,5000000,576,0.0001152,4.799723512036917e-06,0.4234,0.0847,0,0
3,3,0.0004,cm,1.0,5000000,584,0.0001168,4.832936121241414e-06,0.3396,0.0679,0,0
3,3,0.0004,mwpm,,5000000,637,0.0001274,5.04745023234504e-06,0.1665,0.0333,0,0
3,3,0.0007,cm,0.1,2000000,678,0.000339,1.3017009622029169e-05,0.248,0.124,0,0
3,3,0.0007,cm,0.2,2000000,660,0.00033,1.2843112940405064e-05,0.2483,0.1241,0,0
3,3,0.0007,cm,0.3,2000000,656,0.000328,1.280414807786914e-05,0.2484,0.1242,0,0
3,3,0.0007,cm,0.4,2000000,649,0.0003245,1.2735672336983234e-05,0.2485,0.1242,0,0
3,3,0.0007,cm,0.5,2000000,648,0.000324,1.2725859970941061e-05,0.2493,0.1246,0,0
3,3,0.0007,cm,0.6,2000000,646,0.000323,1.2706212476580108e-05,0.2494,0.1247,1,0
3,3,0.0007,cm,0.7,2000000,670,0.000335,1.2940011108959684e-05,0.2496,0.1248,0,0
3,3,0.0007,cm,0.8,2000000,690,0.000345,1.3131659738966738e-05,0.2497,0.1248,0,0
3,3,0.0007,cm,0.9,2000000,697,0.0003485,1.3198078416004355e-05,0.2499,0.1249,0,0
3,3,0.0007,cm,1.0,2000000,702,0.000351,1.3245316134392565e-05,0.1932,0.0966,0,0
3,3,0.0007,mwpm,,2000000,790,0.000395,1.4050693488223277e-05,0.0858,0.0429,0,0
3,3,0.001,cm,0.1,1000000,659,0.000659,2.5662535319020997e-05,0.1661,0.1661,0,0
3,3,0.001,cm,0.2,1000000,641,0.000641,2.5309862089707243e-05,0.1685,0.1685,0,0
3,3,0.001,cm,0.3,1000000,640,0.00064,2.529012455485342e-05,0.1666,0.1666,0,0
3,3,0.001,cm,0.4,1000000,639,0.000639,2.5270371564343885e-05,0.1668,0.1668,0,0
3,3,0.001,cm,0.5,1000000,638,0.000638,2.5250603081906775e-05,0.1671,0.1671,0,0
